Unnamed: 0,x,y,area,pixelValue,height,heights
364,3592,3601,859,151,9.857098039215543,tensor([[10.2557]])
365,2911,3600,1415.5,145,10.20380392156858,tensor([[10.2306]])
366,2911,3600,1410.5,145,10.13776470588209,tensor([[10.2308]])
367,3240,3614,1765,123,9.675490196078044,tensor([[10.2148]])
368,3240,3614,1758.5,123,9.609450980392012,tensor([[10.2151]])
369,2704,3585,702.5,145,10.31937254901959,tensor([[10.2628]])
370,2704,3585,699,145,10.2533333333331,tensor([[10.2630]])
371,2977,3579,1000,146,10.02219607843153,tensor([[10.2494]])
372,2977,3579,997.5,146,10.1542745098036,tensor([[10.2495]])
373,2423,3577,1049,149,10.30286274509808,tensor([[10.2471]])
374,2423,3577,1043,149,10.35239215686261,tensor([[10.2474]])
375,1728,3572,738.5,146,10.38541176470562,tensor([[10.2612]])
376,1728,3572,735.5,146,10.20380392156858,tensor([[10.2613]])
377,3546,3557,738,154,10.40192156862759,tensor([[10.2612]])
378,3546,3557,734.5,154,10.45145098039211,tensor([[10.2614]])
379,3439,3571,1499,149,9.725019607843478,tensor([[10.2268]])
380,3439,3571,1495.5,149,9.345294117646972,tensor([[10.2270]])
381,3347,3557,1096,150,10.31937254901959,tensor([[10.2450]])
382,3347,3557,1092,150,9.840588235294035,tensor([[10.2452]])
383,220,3555,1004.5,147,10.36890196078411,tensor([[10.2492]])
384,220,3555,1001,147,10.26984313725507,tensor([[10.2493]])
385,2637,3548,779,148,10.18729411764707,tensor([[10.2593]])
386,2637,3548,775.5,148,10.2533333333331,tensor([[10.2595]])
387,2024,3547,810,152,10.28635294117612,tensor([[10.2579]])
388,2024,3547,807,152,10.2533333333331,tensor([[10.2581]])
389,2751,3539,676,155,10.38541176470562,tensor([[10.2640]])
390,2751,3539,674,155,10.48447058823513,tensor([[10.2641]])
391,2942,3535,1424.5,140,9.328784313725464,tensor([[10.2302]])
392,2942,3535,1417.5,140,10.20380392156858,tensor([[10.2305]])
393,2806,3525,784,153,10.20380392156858,tensor([[10.2591]])
394,2806,3525,781,153,10.4349411764706,tensor([[10.2593]])
395,2390,3534,1160,145,10.41843137254909,tensor([[10.2421]])
396,2390,3534,1155,145,10.3358823529411,tensor([[10.2424]])
397,386,3525,830,154,10.38541176470562,tensor([[10.2570]])
398,386,3525,827,154,9.956156862744592,tensor([[10.2572]])
399,2094,3522,668.5,150,10.30286274509808,tensor([[10.2643]])
400,3131,3519,866.5,148,10.23682352941159,tensor([[10.2554]])
401,3131,3519,863.5,148,9.906627450980068,tensor([[10.2555]])
402,2318,3507,694,147,10.3358823529411,tensor([[10.2632]])
403,2318,3507,691.5,147,10.17078431372511,tensor([[10.2633]])
404,180,3503,756,149,10.28635294117612,tensor([[10.2604]])
405,180,3503,754,149,10.17078431372511,tensor([[10.2605]])
406,131,3503,708,150,10.3358823529411,tensor([[10.2625]])
407,131,3503,705,150,10.28635294117612,tensor([[10.2627]])
408,498,3497,826,152,10.31937254901959,tensor([[10.2572]])
409,498,3497,823.5,152,9.923137254901576,tensor([[10.2573]])
410,52,3502,1609,154,9.956156862744592,tensor([[10.2219]])
411,52,3502,1605.5,154,9.956156862744592,tensor([[10.2220]])
412,3435,3497,1075,150,10.38541176470562,tensor([[10.2460]])
