x,y,area,height
6663,4208,0.06,0.5760392156862508
4045,4208,0.04,2.576039215686251
6195,4201,0.05,1.423960784313749
3394,4201,0.04,1.576039215686251
3226,4259,63.59,10.42396078431375
352,4218,5.105,11.42396078431375
5544,4200,2.89,13.42396078431375
3372,4193,0.06,1.576039215686251
599,4238,70.065,7.423960784313749
400,4242,27.42,9.423960784313749
1221,4190,1.7,10.42396078431375
243,4203,15.94,27.42396078431375
3559,4173,0.455,2.576039215686251
2912,4187,4.645,20.42396078431375
2713,4214,53.41,20.42396078431375
1007,4196,13.815,23.42396078431375
2820,4172,4.23,12.42396078431375
840,4184,9.565,22.42396078431375
113,4180,4.61,13.42396078431375
6888,4159,0.73,1.576039215686251
3554,4149,0.08,2.576039215686251
3141,4167,7.64,13.42396078431375
356,4169,12.305,16.42396078431375
172,4175,12.245,25.42396078431375
3582,4155,0.665,2.576039215686251
3569,4142,0.06,2.576039215686251
2640,4135,0.06,1.576039215686251
1287,4164,30.3,38.42396078431375
351,4135,0.04,7.423960784313749
2984,4127,0.06,3.423960784313749
5,4136,3.365,19.42396078431375
6840,4159,30.18,7.423960784313749
5561,4144,21.95,15.42396078431375
2991,4116,0.27,2.423960784313749
323,4127,3.095,15.42396078431375
243,4127,5.01,18.42396078431375
3022,4127,11.26,25.42396078431375
1135,4132,16.915,25.42396078431375
6349,4105,0.07000000000000001,1.576039215686251
3168,4114,7.03,15.42396078431375
6733,4122,38.93,18.42396078431375
5295,4091,0.06,1.576039215686251
3219,4126,24.145,31.42396078431375
1639,4129,33.86,21.42396078431375
5888,4083,0.06,5.423960784313749
2961,4077,2.335,9.423960784313749
478,4089,17.115,16.42396078431375
5317,4062,0.06,1.576039215686251
6136,4073,10.885,25.42396078431375
5295,4054,0.09,1.576039215686251
2868,4094,35.02,22.42396078431375
240,4063,1.595,16.42396078431375
6947,4106,55.63,2.576039215686251
6337,4077,38.425,22.42396078431375
5321,4047,0.2,1.576039215686251
5259,4047,0.04,1.576039215686251
234,4047,0.04,13.42396078431375
6515,4068,16.93,17.42396078431375
6478,4047,2.7,8.423960784313749
782,4040,0.06,9.423960784313749
1529,4036,0.2,5.423960784313749
5310,4025,0.04,1.576039215686251
1709,4036,2.965,9.423960784313749
5553,4035,7.545,18.42396078431375
946,4045,6.65,11.42396078431375
2900,4024,2.015,12.42396078431375
6814,4008,0.415,4.423960784313749
6292,4019,9.32,16.42396078431375
5285,4004,0.545,2.576039215686251
873,4003,1.85,16.42396078431375
6484,4000,1.525,4.423960784313749
6473,3988,0.06,1.423960784313749
533,4010,8.005000000000001,22.42396078431375
342,4021,19.86,22.42396078431375
6152,3994,8.595000000000001,21.42396078431375
1537,4009,44.315,7.423960784313749
6207,4018,33.22,3.576039215686251
2945,3994,23.84,21.42396078431375
1368,3984,16.78,11.42396078431375
1170,3963,0.2,11.42396078431375
311,3970,5.275,14.42396078431375
3224,3982,26.24,23.42396078431375
385,3965,11.195,24.42396078431375
6945,3975,29.18,24.42396078431375
240,3955,8.855,16.42396078431375
1462,3956,24.11,8.423960784313749
5964,3947,12.145,26.42396078431375
5651,3940,12.415,29.42396078431375
234,3923,0.04,13.42396078431375
6747,3933,6.465,8.423960784313749
6224,3919,0.3,0.4239607843137492
2823,3915,0.06,5.423960784313749
6468,3933,18.99,17.42396078431375
6144,3908,0.04,1.576039215686251
6007,3922,6.72,22.42396078431375
2830,3908,0.06,6.423960784313749
713,3922,4.38,20.42396078431375
354,3921,4.735,14.42396078431375
6908,3915,8.539999999999999,19.42396078431375
6246,3904,0.61,1.423960784313749
6166,3901,0.04,2.576039215686251
6078,3901,0.04,1.576039215686251
6060,3901,0.2,1.576039215686251
498,3921,10.055,28.42396078431375
6720,3895,6.13,6.423960784313749
6628,3912,20.47,24.42396078431375
6063,3886,0.06,1.576039215686251
2963,3908,16.135,21.42396078431375
2789,3910,14.675,18.42396078431375
1103,3949,44.34,2.576039215686251
475,3886,0.06,6.423960784313749
6337,3919,24.98,8.423960784313749
783,3901,13.855,27.42396078431375
458,3888,2.065,8.423960784313749
391,3898,8.935,19.42396078431375
6789,3882,1.31,14.42396078431375
5888,3860,0.18,1.423960784313749
1053,3885,13.59,24.42396078431375
636,3910,30.505,12.42396078431375
6956,3870,9.904999999999999,16.42396078431375
6482,3866,8.545,17.42396078431375
6305,3876,18.11,14.42396078431375
283,3872,13.1,22.42396078431375
3683,3842,0.2,1.576039215686251
2871,3866,13.95,23.42396078431375
461,3842,0.04,7.423960784313749
446,3854,3.675,19.42396078431375
5954,3827,0.06,1.423960784313749
6816,3842,12.035,23.42396078431375
6433,3824,1,7.423960784313749
3062,3876,52.06,28.42396078431375
